Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131)
1.479528303301475e-17,0.40722969099237993,3.76,0.0,0.6142325382784614,1.0,0.0,0.0,4.3217490810986065e-13,4.3217490810985974e-13,0.0,6.885013822349891e-29,8.221827936236054e-28
2.959377754487322e-17,0.4072296909924128,3.76,0.0,0.614232538278029,1.0,0.0,0.0,8.644436245343772e-13,8.644436245343735e-13,0.0,2.7544558205816994e-28,3.2892663511291346e-27
5.919076656859016e-17,0.40722969099247824,3.76,0.0,0.6142325382771645,1.0,0.0,0.0,1.7289810573817892e-12,1.728981057381775e-12,0.0,1.101873573018003e-27,1.3158134653957966e-26
1.1838474461602402e-16,0.40722969099260925,3.76,0.0,0.6142325382754354,1.0,0.0,0.0,3.4580559230701262e-12,3.4580559230700697e-12,0.0,4.407686228594491e-27,5.263466775030072e-26
2.3677270071089177e-16,0.4072296909928713,3.76,0.0,0.6142325382719773,1.0,0.0,0.0,6.916205654420859e-12,6.916205654420632e-12,0.0,1.7631204318277333e-26,2.105428538210949e-25
4.735486129006273e-16,0.4072296909933954,3.76,0.0,0.6142325382650611,1.0,0.0,0.0,1.3832505117018555e-11,1.3832505117017644e-11,0.0,7.052634028208255e-26,8.421791767989655e-25
9.471004372800982e-16,0.4072296909944435,3.76,0.0,0.6142325382512285,1.0,0.0,0.0,2.7665104041798865e-11,2.7665104041795217e-11,0.0,2.821132406956026e-25,3.368727396705023e-24
1.8942040860390402e-15,0.40722969099653983,3.76,0.0,0.6142325382235633,1.0,0.0,0.0,5.5330301889699147e-11,5.5330301889684535e-11,0.0,1.1285073900209477e-24,1.3474892297390448e-23
3.788411383556924e-15,0.40722969100073253,3.76,0.0,0.6142325381682329,1.0,0.0,0.0,1.1066069757885836e-10,1.1066069757879994e-10,0.0,4.514447755413532e-24,5.389922526651958e-23
7.576825978592692e-15,0.40722969100911777,3.76,0.0,0.614232538057572,1.0,0.0,0.0,2.2132148893061133e-10,2.213214889303777e-10,0.0,1.8061102076138687e-23,2.155937385289482e-22
1.5153655168664228e-14,0.4072296910258883,3.76,0.0,0.6142325378362504,1.0,0.0,0.0,4.426430715278559e-10,4.426430715269213e-10,0.0,7.227082671690816e-23,8.62348832519805e-22
3.03073135488073e-14,0.4072296910594293,3.76,0.0,0.6142325373936073,1.0,0.0,0.0,8.852862362972989e-10,8.852862362935604e-10,0.0,2.892944980063223e-22,3.4491847308259364e-21
6.061463030909344e-14,0.4072296911265115,3.76,0.0,0.614232536508321,1.0,0.0,0.0,1.770572564136001e-09,1.7705725641210472e-09,0.0,1.1588669510601292e-21,1.3795051134060553e-20
1.2122926382966573e-13,0.40722969126067565,3.76,0.0,0.6142325347377483,1.0,0.0,0.0,3.5411452130126686e-09,3.5411452129528527e-09,0.0,4.6489742140397775e-21,5.516670035419249e-20
2.424585308708103e-13,0.40722969152900407,3.76,0.0,0.614232531196603,1.0,0.0,0.0,7.082290483563056e-09,7.082290483323793e-09,0.0,1.8703871707934808e-20,2.2055883012582517e-19
4.849170649530995e-13,0.407229692065661,3.76,0.0,0.6142325241143126,1.0,0.0,0.0,1.4164580915852045e-08,1.4164580914894994e-08,0.0,7.56780801429964e-20,8.813727271563972e-19
7.273755990353886e-13,0.4072296926023179,3.76,0.0,0.6142325170320223,1.0,0.0,0.0,2.1246871239329245e-08,2.1246871237295513e-08,0.0,1.620813985523805e-19,1.8716515586481417e-18
1e-12,0.40722969367563167,3.76,0.0,0.6142325090685777,1.0,0.0,0.0,2.9210315812951196e-08,2.9210315808899735e-08,0.0,3.2794687069721346e-19,3.723518186206419e-18
1.212292667199967e-12,0.40722969367563167,3.76,0.0,0.6142325028674421,1.0,0.0,0.0,3.5411451451036495e-08,3.5411451445413824e-08,0.0,4.571063419456407e-19,5.1655670426988595e-18
1.6972097353645452e-12,0.4072296947489455,3.76,0.0,0.6142324887028624,1.0,0.0,0.0,4.9576031227496585e-08,4.957603121684941e-08,0.0,8.788358073544834e-19,9.768354080384192e-18
2.1821268035291236e-12,0.4072296958222591,3.76,0.0,0.6142324745382831,1.0,0.0,0.0,6.374061056870953e-08,6.374061055160226e-08,0.0,1.4317404135416863e-18,1.5675542000950402e-17
3.15196093985828e-12,0.40722969796888636,3.76,0.0,0.6142324462091255,1.0,0.0,0.0,9.206976822963698e-08,9.206976819624032e-08,0.0,2.8592168346253414e-18,3.053745950103894e-17
4.121795076187436e-12,0.4072297001155135,3.76,0.0,0.6142324178799693,1.0,0.0,0.0,1.203989242900054e-07,1.203989242350402e-07,0.0,4.805984012186146e-18,5.015921084759828e-17
6.06146334884575e-12,0.4072297044087674,3.76,0.0,0.6142323612216625,1.0,0.0,0.0,1.7705723115506562e-07,1.7705723103962858e-07,0.0,1.058657709767032e-17,1.0485045257752693e-16
8.001131621504063e-12,0.4072297087020207,3.76,0.0,0.6142323045633626,0.9999999999999998,0.0,0.0,2.3371553109207737e-07,2.337155308933177e-07,0.0,1.9036672387051547e-17,1.7972297155535075e-16
1e-11,0.4072297172885258,3.76,0.0,0.614232246175817,0.9999999999999997,0.0,0.0,2.921030768366189e-07,2.9210307652797593e-07,0.0,3.1038450072901986e-17,2.776045656678157e-16
1.188046816682069e-11,0.4072297172885258,3.76,0.0,0.6142321912467836,0.9999999999999996,0.0,0.0,3.470321100862045e-07,3.470321096519315e-07,0.0,4.5381419615336127e-17,3.8889158735804937e-16
1.963914125745394e-11,0.40722973446152977,3.76,0.0,0.6142319646137091,0.9999999999999989,0.0,0.0,5.736651845335911e-07,5.736651833527487e-07,0.0,1.445292583113236e-16,1.0363130832109251e-15
3.5156487438720447e-11,0.4072297688075123,3.76,0.0,0.6142315113478946,0.9999999999999962,0.0,0.0,1.026930999175019e-06,1.026930995398572e-06,0.0,5.939164833740775e-16,3.1825303887209248e-15
5.067383361998695e-11,0.40722980315346086,3.76,0.0,0.6142310580825255,0.9999999999999922,0.0,0.0,1.4801963681405477e-06,1.4801963602985276e-06,0.0,1.456894591393658e-15,6.385125729498783e-15
6.619117980125346e-11,0.40722983749937564,3.76,0.0,0.6142306048176022,0.9999999999999866,0.0,0.0,1.933461291418556e-06,1.9334612780409567e-06,0.0,2.8362108322469364e-15,1.0541388358323735e-14
8.170852598251996e-11,0.4072298718452564,3.76,0.0,0.6142301515531247,0.9999999999999796,0.0,0.0,2.386725769005127e-06,2.386725748621932e-06,0.0,4.8281761250313274e-15,1.5555018389192687e-14
9.999999999999999e-11,0.40722994053691647,3.76,0.0,0.6142296172564455,0.9999999999999694,0.0,0.0,2.921022448146184e-06,2.9210224176172485e-06,0.0,8.067205680725519e-15,2.246172952318733e-14
1.1274321834505298e-10,0.40722994053691647,3.76,0.0,0.6142292450255066,0.9999999999999611,0.0,0.0,3.2932533871014986e-06,3.293253348297063e-06,0.0,1.0956429779970418e-14,2.7848005849715878e-14
1.43777910707586e-10,0.4072300092284408,3.76,0.0,0.6142283384996713,0.9999999999999368,0.0,0.0,4.199779222423994e-06,4.1997791593182475e-06,0.0,2.0460474005576595e-14,4.264527323526697e-14
1.802789982693668e-10,0.40723009001899413,3.76,0.0,0.6142272723022782,0.9999999999999007,0.0,0.0,5.265976615373935e-06,5.26597651616166e-06,0.0,3.662681860557724e-14,6.258545660777672e-14
2.1678008583114758e-10,0.40723017080935986,3.76,0.0,0.6142262061073516,0.9999999999998566,0.0,0.0,6.332171542207804e-06,6.3321713987551315e-06,0.0,5.878380035474282e-14,8.466887332597374e-14
2.5328117339292837e-10,0.4072302515995383,3.76,0.0,0.6142251399148909,0.9999999999998043,0.0,0.0,7.39836400292525e-06,7.398363807098331e-06,0.0,8.740520383488787e-14,1.0842171505242937e-13
2.8978226095470916e-10,0.40723033238952905,3.76,0.0,0.6142240737248962,0.9999999999997436,0.0,0.0,8.464553997525753e-06,8.464553741190765e-06,0.0,1.2284606349997902e-13,1.3348892418295922e-13
3.2628334851648995e-10,0.40723041317933245,3.76,0.0,0.6142230075373677,0.999999999999675,0.0,0.0,9.530741526008576e-06,9.53074120103172e-06,0.0,1.6537705019338397e-13,1.5959980739974696e-13
3.6278443607827074e-10,0.40723049396894817,3.76,0.0,0.6142219413523053,0.9999999999995983,0.0,0.0,1.0596926588372897e-05,1.059692618662039e-05,0.0,2.152133853116794e-13,1.8653912111593116e-13
3.9928552364005153e-10,0.40723057475837654,3.76,0.0,0.6142208751697091,0.9999999999995133,0.0,0.0,1.1663109184617847e-05,1.1663108697955937e-05,0.0,2.7251299491943076e-13,2.1414891721728914e-13
4.722876987636132e-10,0.40723073633667084,3.76,0.0,0.6142187428119149,0.999999999999319,0.0,0.0,1.3795466978746215e-05,1.3795466297864307e-05,0.0,4.099821120552827e-13,2.7089979370684223e-13
5.379896563748186e-10,0.4072308817564945,3.76,0.0,0.6142168236983344,0.9999999999991165,0.0,0.0,1.5714580559324846e-05,1.5714579675827723e-05,0.0,5.601867596277028e-13,3.233103674011442e-13
6.245391841316143e-10,0.4072310733178513,3.76,0.0,0.6142142956523083,0.9999999999988094,0.0,0.0,1.8242626585375283e-05,1.82426253947495e-05,0.0,7.968121757195214e-13,3.9381360885735844e-13
7.024337591127304e-10,0.40723124572217123,3.76,0.0,0.6142120204227398,0.9999999999984939,0.0,0.0,2.0517856153888487e-05,2.0517854647747812e-05,0.0,1.0478292735645476e-12,4.583114000602659e-13
7.803283340938466e-10,0.4072314181256372,3.76,0.0,0.6142097452044023,0.9999999999981413,0.0,0.0,2.279307449140473e-05,2.2793072632708143e-05,0.0,1.3350868330269466e-12,5.236097568429161e-13
8.582229090749627e-10,0.4072315905282495,3.76,0.0,0.6142074699972958,0.9999999999977516,0.0,0.0,2.506828159791574e-05,2.5068279349622425e-05,0.0,1.6586903585244784e-12,5.896029599509084e-13
9.361174840560787e-10,0.4072317629300078,3.76,0.0,0.6142051948014203,0.999999999997325,0.0,0.0,2.7343477473413244e-05,2.73434747984826e-05,0.0,2.0186845089133992e-12,6.562461356919006e-13
9.999999999999999e-10,0.4072319353309124,3.76,0.0,0.6142033288873449,0.9999999999969476,0.0,0.0,2.9209391548841453e-05,2.9209388496373934e-05,0.0,2.341096930022711e-12,7.113705916550472e-13
1.0140120590371948e-09,0.4072319353309124,3.76,0.0,0.6142029196167759,0.9999999999968614,0.0,0.0,2.9618662117888966e-05,2.9618658979280618e-05,0.0,2.4150914839643817e-12,7.235168694761963e-13
1.169801208999427e-09,0.40723228013016,3.76,0.0,0.61419836928118,0.9999999999958229,0.0,0.0,3.416899771373013e-05,3.4168993536646396e-05,0.0,3.3171934456792224e-12,8.598903064505193e-13
1.3255903589616593e-09,0.40723262492599227,3.76,0.0,0.6141938189905083,0.9999999999946362,0.0,0.0,3.871928838538939e-05,3.8719283021671176e-05,0.0,4.3650350019710746e-12,9.986832179310047e-13
1.6371686588861238e-09,0.4072333145074109,3.76,0.0,0.6141847185439379,0.9999999999918185,0.0,0.0,4.781973495577504e-05,4.781972677432074e-05,0.0,6.898054609136357e-12,1.2833996927491256e-12
1.9487469588105883e-09,0.40723400407516797,3.76,0.0,0.614175618277065,0.9999999999884082,0.0,0.0,5.692000182858693e-05,5.691999023678226e-05,0.0,1.0014206008477056e-11,1.5775986573613667e-12
2.5719035586595173e-09,0.407235383169698,3.76,0.0,0.614157418282415,0.9999999999798098,0.0,0.0,7.511999647876459e-05,7.511997628848724e-05,0.0,1.7995906717815843e-11,2.1943706176346574e-12
3.1950601585084463e-09,0.4072367622095819,3.76,0.0,0.6141392190065614,0.999999999968841,0.0,0.0,9.331927233220002e-05,9.331924117316075e-05,0.0,2.8310059932321804e-11,2.8489793388530573e-12
3.818216758357375e-09,0.40723814119481944,3.76,0.0,0.6141210204495087,0.9999999999555019,0.0,0.0,0.00011151782938484223,0.00011151778488685738,0.0,4.0956561743229224e-11,3.5414230887924853e-12
4.441373358206304e-09,0.40723952012541026,3.76,0.0,0.614102822611261,0.9999999999397928,0.0,0.0,0.00012971566763253435,0.0001297156074255289,0.0,5.59353038426165e-11,4.271701640927509e-12
5.687686557904162e-09,0.4072422778226505,3.76,0.0,0.6140664290911959,0.9999999999012651,0.0,0.0,0.00016610918769772523,0.0001661090889628546,0.0,9.288911246606254e-11,5.845758169872101e-12
6.93399975760202e-09,0.4072450353013009,3.76,0.0,0.6140300384463988,0.9999999998532583,0.0,0.0,0.00020249983249461272,0.00020249968575284633,0.0,1.391706306783421e-10,7.571135718069401e-12
8.180312957299878e-09,0.4072477925613583,3.76,0.0,0.6139936506769051,0.999999999795773,0.0,0.0,0.00023888760198837917,0.00023888739776160034,0.0,1.9477895881914308e-10,9.447820041905274e-12
9.999999999999999e-09,0.40725330642568475,3.76,0.0,0.6139405276602377,0.9999999996948218,0.0,0.0,0.0002920106186558511,0.00029201031347773513,0.0,2.9271852868196696e-10,1.2459587261521171e-11
1.0672939356695594e-08,0.40725330642568475,3.76,0.0,0.6139208837639617,0.9999999996523723,0.0,0.0,0.0003116545149318712,0.00031165416730427294,0.0,3.339725476775898e-10,1.365505057285584e-11
1.316556575609131e-08,0.4072588194156102,3.76,0.0,0.6138481283526331,0.9999999994710697,0.0,0.0,0.00038440992626047836,0.0003844093973302273,0.0,5.104629143178371e-10,1.846733672048895e-11
1.5658192155487028e-08,0.40726433153111535,3.76,0.0,0.6137753844431839,0.9999999992518723,0.0,0.0,0.00045715383570965606,0.0004571530875819503,0.0,7.242431395471848e-10,2.388456624033066e-11
1.8150818554882744e-08,0.4072698427721808,3.76,0.0,0.613702652035877,0.999999998994787,0.0,0.0,0.0005298862430165425,0.0005298852378036059,0.0,9.75306309554947e-10,2.9906626928589725e-11
2.3136071353674176e-08,0.40728086263091545,3.76,0.0,0.613557221728733,0.9999999983669813,0.0,0.0,0.0006753165501606657,0.0006753149171420741,0.0,1.5892537990780394e-09,4.376479248900819e-11
2.8121324152465608e-08,0.4072918789916601,3.76,0.0,0.6134118374332777,0.9999999975877089,0.0,0.0,0.0008207008456159434,0.0008206984333249969,0.0,2.35225001175486e-09,6.00409347536326e-11
3.809182975004847e-08,0.40731390121858235,3.76,0.0,0.613121206885591,0.9999999955749892,0.0,0.0,0.0011113313933024873,0.001111326968291859,0.0,4.3251670744159896e-09,9.984355404126554e-11
