Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129)
1.1127071694966512e-10,0.13114689495544377,3.76,0.0,0.847535214283411,0.9999999999999998,0.0,0.0,3.5721672551233905e-06,3.5721672548347674e-06,0.0,2.886230909901592e-16
2.189656263630016e-10,0.13114697581455897,3.76,0.0,0.8475317569319124,0.9999999999999989,0.0,0.0,7.029518753765344e-06,7.029518752647719e-06,0.0,1.1176250299399956e-15
4.343554451896746e-10,0.13114713753139404,3.76,0.0,0.8475248422885787,0.9999999999999957,0.0,0.0,1.3944162087431317e-05,1.3944162083033615e-05,0.0,4.39770419723178e-15
6.497452640163476e-10,0.13114729924636845,3.76,0.0,0.8475179277248159,0.9999999999999902,0.0,0.0,2.0858725850230228e-05,2.0858725840389704e-05,0.0,9.840530059250565e-15
9.999999999999999e-10,0.13114762267072955,3.76,0.0,0.8475066838224784,0.9999999999999768,0.0,0.0,3.210262818767292e-05,3.21026281643637e-05,0.0,2.3309225213074825e-14
1.0805249016696937e-09,0.13114762267072955,3.76,0.0,0.8475040988361491,0.9999999999999729,0.0,0.0,3.468761451704427e-05,3.468761448983e-05,0.0,2.7214267531146573e-14
1.5113045393230396e-09,0.13114794608764244,3.76,0.0,0.8474902702661122,0.9999999999999469,0.0,0.0,4.8516184553859785e-05,4.8516184500621155e-05,0.0,5.323862467191147e-14
1.9420841769763856e-09,0.13114826949709602,3.76,0.0,0.8474764420149238,0.9999999999999123,0.0,0.0,6.234443574229377e-05,6.23444356543804e-05,0.0,8.791336913980115e-14
2.3728638146297318e-09,0.13114859289908565,3.76,0.0,0.8474626140828081,0.999999999999869,0.0,0.0,7.617236785796993e-05,7.617236772673166e-05,0.0,1.3123826197900204e-13
3.2344230899364237e-09,0.13114923968065206,3.76,0.0,0.8474349591766248,0.9999999999997564,0.0,0.0,0.00010382727404125931,0.00010382727379742169,0.0,2.43837608061821e-13
4.095982365243116e-09,0.1311498864323159,3.76,0.0,0.8474073055493572,0.9999999999996092,0.0,0.0,0.00013148090130891008,0.00013148090091787533,0.0,3.9103474843884126e-13
5.8191009158564996e-09,0.13115117984572205,3.76,0.0,0.8473520021391274,0.999999999999211,0.0,0.0,0.0001867843115387183,0.00018678431074950396,0.0,7.892143289237392e-13
7.542219466469884e-09,0.13115247313895476,3.76,0.0,0.8472967038667684,0.9999999999986746,0.0,0.0,0.00024208258389755172,0.0002420825825717904,0.0,1.3257613204486052e-12
9.265338017083269e-09,0.13115376631170328,3.76,0.0,0.8472414107468287,0.9999999999979996,0.0,0.0,0.00029737570383740254,0.0002973757018367424,0.0,2.00066010586675e-12
9.999999999999999e-09,0.1311563522943043,3.76,0.0,0.847217837762026,0.9999999999976698,0.0,0.0,0.00032094868864004456,0.0003209486863095728,0.0,2.3304717423735006e-12
